state,state_fips,county_name,county_fips
CA,06,Alameda,06001
CA,06,Alpine,06003
CA,06,Amador,06005
CA,06,Butte,06007
CA,06,Calaveras,06009
CA,06,Colusa,06011
CA,06,Contra Costa,06013
CA,06,Del Norte,06015
CA,06,El Dorado,06017
CA,06,Fresno,06019
CA,06,Glenn,06021
CA,06,Humboldt,06023
CA,06,Imperial,06025
CA,06,Inyo,06027
CA,06,Kern,06029
CA,06,Kings,06031
CA,06,Lake,06033
CA,06,Lassen,06035
CA,06,Los Angeles,06037
CA,06,Madera,06039
CA,06,Marin,06041
CA,06,Mariposa,06043
CA,06,Mendocino,06045
CA,06,Merced,06047
CA,06,Modoc,06049
CA,06,Mono,06051
CA,06,Monterey,06053
CA,06,Napa,06055
CA,06,Nevada,06057
CA,06,Orange,06059
CA,06,Placer,06061
CA,06,Plumas,06063
CA,06,Riverside,06065
CA,06,Sacramento,06067
CA,06,San Benito,06069
CA,06,San Bernardino,06071
CA,06,San Diego,06073
CA,06,San Francisco,06075
CA,06,San Joaquin,06077
CA,06,San Luis Obispo,06079
CA,06,San Mateo,06081
CA,06,Santa Barbara,06083
CA,06,Santa Clara,06085
CA,06,Santa Cruz,06087
CA,06,Shasta,06089
CA,06,Sierra,06091
CA,06,Siskiyou,06093
CA,06,Solano,06095
CA,06,Sonoma,06097
CA,06,Stanislaus,06099
CA,06,Sutter,06101
CA,06,Tehama,06103
CA,06,Trinity,06105
CA,06,Tulare,06107
CA,06,Tuolumne,06109
CA,06,Ventura,06111
CA,06,Yolo,06113
CA,06,Yuba,06115
FL,12,Alachua,12001
FL,12,Baker,12003
FL,12,Bay,12005
FL,12,Bradford,12007
FL,12,Brevard,12009
FL,12,Broward,12011
FL,12,Calhoun,12013
FL,12,Charlotte,12015
FL,12,Citrus,12017
FL,12,Clay,12019
FL,12,Collier,12021
FL,12,Columbia,12023
FL,12,DeSoto,12027
FL,12,Dixie,12029
FL,12,Duval,12031
FL,12,Escambia,12033
FL,12,Flagler,12035
FL,12,Franklin,12037
FL,12,Gadsden,12039
FL,12,Gilchrist,12041
FL,12,Glades,12043
FL,12,Gulf,12045
FL,12,Hamilton,12047
FL,12,Hardee,12049
FL,12,Hendry,12051
FL,12,Hernando,12053
FL,12,Highlands,12055
FL,12,Hillsborough,12057
FL,12,Holmes,12059
FL,12,Indian River,12061
FL,12,Jackson,12063
FL,12,Jefferson,12065
FL,12,Lafayette,12067
FL,12,Lake,12069
FL,12,Lee,12071
FL,12,Leon,12073
FL,12,Levy,12075
FL,12,Liberty,12077
FL,12,Madison,12079
FL,12,Manatee,12081
FL,12,Marion,12083
FL,12,Martin,12085
FL,12,Miami-Dade,12086
FL,12,Monroe,12087
FL,12,Nassau,12089
FL,12,Okaloosa,12091
FL,12,Okeechobee,12093
FL,12,Orange,12095
FL,12,Osceola,12097
FL,12,Palm Beach,12099
FL,12,Pasco,12101
FL,12,Pinellas,12103
FL,12,Polk,12105
FL,12,Putnam,12107
FL,12,St. Johns,12109
FL,12,St. Lucie,12111
FL,12,Santa Rosa,12113
FL,12,Sarasota,12115
FL,12,Seminole,12117
FL,12,Sumter,12119
FL,12,Suwannee,12121
FL,12,Taylor,12123
FL,12,Union,12125
FL,12,Volusia,12127
FL,12,Wakulla,12129
FL,12,Walton,12131
FL,12,Washington,12133
AZ,04,Apache,04001
AZ,04,Cochise,04003
AZ,04,Coconino,04005
AZ,04,Gila,04007
AZ,04,Graham,04009
AZ,04,Greenlee,04011
AZ,04,La Paz,04012
AZ,04,Maricopa,04013
AZ,04,Mohave,04015
AZ,04,Navajo,04017
AZ,04,Pima,04019
AZ,04,Pinal,04021
AZ,04,Santa Cruz,04023
AZ,04,Yavapai,04025
AZ,04,Yuma,04027
GA,13,Appling,13001
GA,13,Atkinson,13003
GA,13,Bacon,13005
GA,13,Baker,13007
GA,13,Baldwin,13009
GA,13,Banks,13011
GA,13,Barrow,13013
GA,13,Bartow,13015
GA,13,Ben Hill,13017
GA,13,Berrien,13019
GA,13,Bibb,13021
GA,13,Bleckley,13023
GA,13,Brantley,13025
GA,13,Brooks,13027
GA,13,Bryan,13029
GA,13,Bulloch,13031
GA,13,Burke,13033
GA,13,Butts,13035
GA,13,Calhoun,13037
GA,13,Camden,13039
GA,13,Candler,13043
GA,13,Carroll,13045
GA,13,Catoosa,13047
GA,13,Charlton,13049
GA,13,Chatham,13051
GA,13,Chattahoochee,13053
GA,13,Chattooga,13055
GA,13,Cherokee,13057
GA,13,Clarke,13059
GA,13,Clay,13061
GA,13,Clayton,13063
GA,13,Clinch,13065
GA,13,Cobb,13067
GA,13,Coffee,13069
GA,13,Colquitt,13071
GA,13,Columbia,13073
GA,13,Cook,13075
GA,13,Coweta,13077
GA,13,Crawford,13079
GA,13,Crisp,13081
GA,13,Dade,13083
GA,13,Dawson,13085
GA,13,Decatur,13087
GA,13,DeKalb,13089
GA,13,Dodge,13091
GA,13,Dooly,13093
GA,13,Dougherty,13095
GA,13,Douglas,13097
GA,13,Early,13099
GA,13,Echols,13101
GA,13,Effingham,13103
GA,13,Elbert,13105
GA,13,Emanuel,13107
GA,13,Evans,13109
GA,13,Fannin,13111
GA,13,Fayette,13113
GA,13,Floyd,13115
GA,13,Forsyth,13117
GA,13,Franklin,13119
GA,13,Fulton,13121
GA,13,Gilmer,13123
GA,13,Glascock,13125
GA,13,Glynn,13127
GA,13,Gordon,13129
GA,13,Grady,13131
GA,13,Greene,13133
GA,13,Gwinnett,13135
GA,13,Habersham,13137
GA,13,Hall,13139
GA,13,Hancock,13141
GA,13,Haralson,13143
GA,13,Harris,13145
